key,summary,issue_type,status,status_category,station_count,go_live_date,marketing_status
"T4PO-10","Fred's Quality Cleaners - 1 st","New Customer v2","Done","Done","","2020-09-29",""
"T4PO-34","KBI Laundries - 3 st","New Customer v2","Done","Done","","2020-09-01",""
"T4PO-35","Martins Cleaners - 1 st (Rick)","New Customer v2","Done","Done","","2020-12-22",""
"T4PO-37","Trillium TLC Limited dba Love Your Centre - 20 st (Sam)","New Customer v2","Done","Done",23,"2021-01-15",""
"T4PO-38","All Star Cleaners - 2 st","New Customer v2","Done","Done","","2020-09-08",""
"T4PO-39","Spa Garment Care - 1 st","New Customer v2","Done","Done","","2020-12-01",""
"T4PO-40","Flair Cleaners NJ - 2 st","New Customer v2","Done","Done","","2020-09-28",""
"T4PO-41","Sage Cleaners - 12 st","New Customer v2","Done","Done","","2020-10-01",""
"T4PO-42","Super Suds Annapolis - 1st (Fredy)","New Customer v2","Done","Done","","",""
"T4PO-43","Kleen of AB Cleaners - 2 st","New Customer v2","Done","Done","","2020-09-28",""
"T4PO-44","SuperSuds Bedford/Suitland 1st (Fredy)","New Customer v2","Cancelled","Done","","2031-12-31",""
"T4PO-45","SuperSuds Duke/Lancaster 1st","New Customer v2","Done","Done","","2020-09-03",""
"T4PO-46","SudCity Culpeper 1st","New Customer v2","Done","Done","","2020-08-31",""
"T4PO-47","SuperSuds Columbia/Falls Church","New Customer v2","Done","Done","","2020-08-28",""
"T4PO-48","Great Lakes Clothing Care - 1 st","New Customer v2","Done","Done","","2020-10-06",""
"T4PO-49","Heavenly Cleaners - 1 st","New Customer v2","Done","Done","","2020-09-04",""
"T4PO-50","4 Epingles Dry Cleaners - 1 st","New Customer v2","Done","Done","","2020-09-21",""
"T4PO-51","Martinizing Cleaners, Visalia & Key West - 5 st","New Customer v2","Done","Done","","2020-11-11",""
"T4PO-52","st - ","New Customer v2","Done","Done","","2020-10-23",""
"T4PO-53","New Arrow Instance","New Customer v2","Done","Done","","",""
"T4PO-54","Green Apple Cleaners - 12 st","New Customer v2","Done","Done","","2020-10-02",""
"T4PO-55","Go Green - 1 st","New Customer v2","Done","Done","","2020-09-28",""
"T4PO-56","Sunshine Cleaners(KY) - 10 st (Ross)","New Customer v2","Done","Done",10,"2021-01-04",""
"T4PO-57","EnRoute Cleaners - 6 st","New Customer v2","Cancelled","Done","","",""
"T4PO-58","Sylvania Dry Cleaners - 1 st","New Customer v2","Done","Done","","2020-09-23",""
"T4PO-59"," Curtis Cleaners - 8 st","New Customer v2","Done","Done","","2020-10-15",""
"T4PO-60","Rockridge Royal Cleaner - 2 st","New Customer v2","Done","Done","","",""
"T4PO-61","Blue Sky Stores Transfer to Helenas","New Customer v2","Done","Done","","2020-10-22",""
"T4PO-62","Camelot Cleaners, MI - 4 st (Curt)","New Customer v2","Done","Done","","2020-12-16",""
"T4PO-63","Faulkenbury & Wright Cleaners - 1 st","New Customer v2","Done","Done","","2020-11-02",""
"T4PO-64","Jeans Colonial - 2 st (Fredy)","New Customer v2","Done","Done","","",""
"T4PO-65","Hamilton Cleaners - 4 st","New Customer v2","Done","Done","","2020-12-01",""
"T4PO-66","Star Valley Express - 1 st","New Customer v2","Done","Done","","2020-10-13",""
"T4PO-67","Empire Cleaners - 1 st","New Customer v2","Done","Done","","2020-11-06",""
"T4PO-68","AM Cleaners - 2 st (Fredy)","New Customer v2","Done","Done","","2020-12-14",""
"T4PO-69","7th Ave & UpTown - 4 st","New Customer v2","Done","Done","","2020-11-16",""
"T4PO-70","Paoletti Cleaners - 11 st","New Customer v2","Done","Done","","2020-11-04",""
"T4PO-71","11st - White Swan ","New Customer v2","Done","Done",1,"2020-11-05",""
"T4PO-72","Gramercy Cleaners","New Customer v2","Done","Done","","2020-10-06",""
"T4PO-73","SuperSuds/LaPlata II - 1 st","New Customer v2","Done","Done","","2020-11-16",""
"T4PO-74","SuperSuds/Woodbridge - 1 st","New Customer v2","Done","Done","","2020-10-26",""
"T4PO-75","SuperSuds/Reading I - 1 st","New Customer v2","Done","Done","","2020-10-20",""
"T4PO-76","6 st - Ram Leather Care MI","New Customer v2","Done","Done",6,"2021-07-06",""
"T4PO-77","Washroom Laundry Service - 3 st","New Customer v2","Done","Done","","2020-11-24",""
"T4PO-78","Starcrest St. Louis - 3 New Stores","New Customer v2","Done","Done","","2020-11-11",""
"T4PO-79","Julian's Dry Cleaners - 10 st","New Customer v2","Done","Done","","2020-11-12",""
"T4PO-80","Tropical Cleaners - 8 st (Fredy)","New Customer v2","Done","Done",8,"2021-01-05",""
"T4PO-81","Armstrong Cleaners & Formal Wear - 2 st","New Customer v2","Done","Done","","2020-12-07",""
"T4PO-82","J & J Alterations & Cleaners - 3 st (Curt)","New Customer v2","Done","Done","","2020-12-22",""
"T4PO-83","Bryn Mawr Drycleaners - 2 st","New Customer v2","Done","Done","","2020-11-18",""
"T4PO-84","Magic Cleaner - 1 st (Fredy)","New Customer v2","Done","Done","","2020-12-11",""
"T4PO-85","Neat Dry Cleaners - 3 st (Ross)","New Customer v2","Done","Done","","2020-12-14",""
"T4PO-86","23st - ","New Customer v2","Done","Done",23,"2021-02-02",""
"T4PO-87","TLC Dry Cleaners - 3 st (Fredy)","New Customer v2","Done","Done",3,"2021-01-13",""
"T4PO-88","st - ","New Customer v2","Done","Done","","2020-12-07",""
"T4PO-89","Lavada's Laundry - 1 st (Curt)","New Customer v2","Done","Done",1,"2021-01-13",""
"T4PO-90","Islip Cleaners - 4 st (Curt)","New Customer v2","Cancelled","Done","","",""
"T4PO-91","8 st - Brass Hanger","New Customer v2","Done","Done",8,"2021-02-22",""
"T4PO-92","2 st - RGV Express","New Customer v2","Done","Done",2,"2021-01-11",""
"T4PO-93","SuperSuds/Hyattsville RiggsRd - 1 st (Fredy)","New Customer v2","Done","Done","","",""
"T4PO-94","SuperSuds/Reading II - 1 st (Fredy)","New Customer v2","Done","Done","","2020-12-07",""
"T4PO-95","Luxury Cleaners - 5 st (Curt)","New Customer v2","Done","Done",5,"2021-01-20",""
"T4PO-96","Comet Cleaners Little Rock - 1 st (Justin)","New Customer v2","Done","Done","","2020-12-24",""
"T4PO-97","The Green Van - 3 st (Ross)","New Customer v2","Cancelled","Done","","",""
"T4PO-98","FabriCare of Greenville - 6 st","New Customer v2","Done","Done",6,"2021-05-12",""
"T4PO-99","Capitol Dry Cleaners - 1 st (Curt)","New Customer v2","Done","Done",1,"2021-01-11",""
"T4PO-100","Chayban's - 1 st (Justin)","New Customer v2","Done","Done","","2020-12-22",""
"T4PO-925","1st - Test","New Customer v2","Cancelled","Done",1,"2024-01-15",""
"T4PO-926","Rogys Cleaners TC","Touch Control - New Customer","Done","Done",1,"2024-01-16",""
"T4PO-927","5st - TLC Cleaners","New Customer v2","Done","Done",5,"2024-03-14",""
"T4PO-928","12st - Tip Top Dry Cleaners","New Customer v2","Done","Done",12,"2024-01-22",""
"T4PO-929","5st - Twin Kell Cleaners","New Customer v2","Done","Done",5,"2024-02-27",""
"T4PO-930","6st - Clover Cleaners","New Customer v2","Done","Done",6,"2024-04-04",""
"T4PO-931","2st - Dryclean Express","New Customer v2","Done","Done",2,"2024-02-26","Canceled"
"T4PO-932","2st - Norman's Dry Cleaners","New Customer v2","Done","Done",2,"2024-03-06",""
"T4PO-933","2st - Cinderella Cleaners","New Customer v2","Done","Done",2,"2024-04-08",""
"T4PO-934","20st - Ablitts Fine Cleaners","New Customer v2","Done","Done",20,"2024-05-07",""
"T4PO-935","st - Ablitt's Fine Cleaners - Get MP Pictures","Sub-task","Done","Done","","",""
"T4PO-936","st - Ablitt's Fine Cleaners - Get TV on MP Computer","Sub-task","Done","Done","","",""
"T4PO-937","4st - The Cleaners of Keller","New Customer v2","Done","Done",4,"2024-02-29",""
"T4PO-938","1st - EKR Laundry","New Customer v2","Done","Done",1,"2024-06-13",""
"T4PO-939","25st - Medlin Davis Cleaners North","New Customer v2","Done","Done",25,"2024-03-13",""
"T4PO-940","st - Medlin Davis Cleaners - Get MP Pictures","Sub-task","Done","Done","","",""
"T4PO-941","st - Medlin Davis Cleaners - Get TV on MP Computer","Sub-task","Done","Done","","",""
"T4PO-942","15st - Plantenga's Cleaners","New Customer v2","Done","Done",15,"2024-04-03",""
"T4PO-943","8st - Seagulls Laundromat","New Customer v2","Done","Done",8,"2024-02-14",""
"T4PO-944","Uniques Cleaners Store 2 ","Touch Control - New Customer","Done","Done",2,"2024-02-02",""
"T4PO-945","2st - Belfort Cleaners & San Jose Square Cleaners","New Customer v2","Done","Done",2,"2024-04-01","Canceled"
"T4PO-946","2st - Clothing Spa Drycleaners","New Customer v2","Done","Done",2,"2024-03-25","Canceled"
"T4PO-947","2st - VIPS Cleaners / Green Hanger Cleaners","New Customer v2","Done","Done",2,"2024-02-15",""
"T4PO-948","0st - Test Fastrack 2-8-24","New Customer v2","Cancelled","Done",0,"2024-02-22",""
"T4PO-949","4st - Green Dry Cleaners","New Customer v2","Cancelled","Done",5,"2024-03-02",""
"T4PO-950","1st - Thornhill Dry Cleaners","New Customer v2","Done","Done",1,"2024-03-13","Canceled"
"T4PO-951","3st - Sophie's Cleaners","New Customer v2","Done","Done",3,"2024-04-15",""
"T4PO-953","2st - ","Touch Control - New Customer","Done","Done",2,"",""
"T4PO-954","2st - Prestige Custom Cleaners","New Customer v2","Done","Done",2,"2025-08-12",""
"T4PO-955","2st - Bonaire Cleaners","New Customer v2","Done","Done",2,"2024-03-21",""
"T4PO-956","9st - Mango Cleaners","New Customer v2","Done","Done",9,"2024-06-24",""
"T4PO-957","9st - Elite Cleaners","New Customer v2","Done","Done",9,"2024-05-14","Canceled"
"T4PO-958","2st - Earl Cleaners","New Customer v2","Done","Done",2,"2024-03-18","Canceled"
"T4PO-959","Imperial Cleaners  - 3st (Work Required)","Station Add On","Done","Done",3,"2024-02-23",""
"T4PO-960","0st - ADD ON TEST","New Customer v2","Cancelled","Done",0,"",""
"T4PO-961","5st - Giant Laundromats","New Customer v2","Done","Done",5,"2024-03-04",""
"T4PO-962","6st - A1 Cleaners - Add On with data","New Customer v2","Done","Done",6,"2024-04-11",""
"T4PO-963","1st - The Clean Bean","New Customer v2","Cancelled","Done",1,"",""
"T4PO-964","4st - Breeze Drycleaning & Laundry","New Customer v2","Cancelled","Done",4,"",""
"T4PO-965","4st - Quality 1 Cleaners & Tailors","New Customer v2","Done","Done",4,"2024-03-28","Canceled"
"T4PO-966","12st - US Cleaners - Amarillo, TX","New Customer v2","Cancelled","Done",12,"",""
"T4PO-967","2st - Holiday Cleaners of America","New Customer v2","Done","Done",2,"2024-06-24",""
"T4PO-968","8st - Wesselmann Cleaners","New Customer v2","Done","Done",8,"2024-05-22",""
"T4PO-969","26st - Hill Park Cleaners","New Customer v2","Done","Done",26,"2024-05-09",""
"T4PO-970","2st - Bill Williams Cleaners","New Customer v2","Done","Done",2,"2024-03-26",""
"T4PO-971","0st - SMRT Cleaners","New Customer v2","Cancelled","Done",0,"",""
"T4PO-972","10st - Master Cleaners - Mobile, AL","New Customer v2","Done","Done",10,"2024-08-28",""
"T4PO-973","1st - Marquis Cleaners - Switching to HSL's, Assembly Station add-on","Station Add On","Done","Done",1,"2024-04-01",""
"T4PO-974","2st - Prisca's Cleaners","New Customer v2","Done","Done",2,"2024-05-17",""
"T4PO-975","9st - Raves Fabricare Master Cleaners","New Customer v2","Done","Done",9,"2024-11-04",""
"T4PO-976","2st - Beasley/FreshSpin Cleaners","New Customer v2","Done","Done",2,"2024-04-23",""
"T4PO-977","1st - Belmore Dry Cleaners","New Customer v2","Done","Done",1,"2024-04-18",""
"T4PO-978","1st - Lawrence Hurstville","New Customer v2","Done","Done",1,"",""
"T4PO-979","1st - Monbulk Dry Cleaners","New Customer v2","Done","Done",1,"2024-09-19",""
"T4PO-980","4st - Daisy Fresh","New Customer v2","Done","Done",4,"2024-04-17",""
"T4PO-981","3st - Pristine Drycleaners & Laundry","New Customer v2","Done","Done",3,"2024-08-29",""
"T4PO-982","4st - The Laundry Room","New Customer v2","Done","Done",4,"2024-05-02",""
"T4PO-983","5st - Kleen Kare Cleaners","New Customer v2","Done","Done",5,"2024-05-22",""
"T4PO-984","9st - Springdale Cleaners","New Customer v2","Done","Done",9,"2024-05-30",""
"T4PO-985","7st - A Carriage Regal Cleaner","New Customer v2","Done","Done",7,"2024-09-04",""
"T4PO-986","22st - Fazio Cleaners (Work Required)","New Customer v2","Done","Done",22,"2024-06-01",""
"T4PO-987","2st - Busters Laundry","New Customer v2","Done","Done",2,"2024-05-14",""
"T4PO-988","1st - Premium Care Dry Cleaners","New Customer v2","Done","Done",1,"2024-04-30",""
"T4PO-989","10st - Dryeco","New Customer v2","Cancelled","Done",10,"",""
"T4PO-990","1st - Hollywood Cleaners","New Customer v2","Done","Done",1,"2024-04-18",""
"T4PO-991","2st - Esperance Laundry & Linen","New Customer v2","Done","Done",3,"2025-11-12",""
"T4PO-992","4st - Quality Cleaners - Whiteville NC","New Customer v2","Cancelled","Done",4,"",""
"T4PO-993","28st - Albano Cleaners","New Customer v2","Done","Done",28,"2024-05-06",""
"T4PO-994","6st - Hunter's Cleaners","New Customer v2","Cancelled","Done",6,"",""
"T4PO-995","1st - Spin Zone Premium","New Customer v2","Done","Done",1,"2024-09-23",""
"T4PO-996","8st - Dutch Girl Cleaners","New Customer v2","Done","Done",8,"2024-08-22",""
"T4PO-997","1st - Great Lakes Clothing Care (Work Required)","New Customer v2","Done","Done",1,"2024-05-06",""
"T4PO-998","4st - Bay Oaks Cleaners","New Customer v2","Done","Done",4,"2024-05-28",""
"T4PO-999","4st - Courtesy Cleaners (Work Required)","New Customer v2","Done","Done",4,"2024-05-13","Canceled"
"T4PO-1000","Wall Street Cleaners Liberty TC hosted 3st - ","Touch Control - New Customer","Done","Done",3,"2024-04-30",""
"T4PO-1001","6st - Carriage Trade Cleaners","New Customer v2","Done","Done",6,"2024-09-16",""
"T4PO-1002","4st - Smart Cleaners","New Customer v2","Done","Done",4,"2024-11-07",""
"T4PO-1003","2st - Jamie's Cleaners and Laundry","New Customer v2","Done","Done",2,"2024-05-28",""
"T4PO-1004","13st - Pressed Drycleaning","New Customer v2","Done","Done",13,"2024-07-24",""
"T4PO-1005","3st - Blue Line Dry Cleaners","New Customer v2","Done","Done",3,"2024-07-23",""
"T4PO-1006","9st - Four Seasons ","New Customer v2","Done","Done",9,"2024-08-26",""
"T4PO-1007","1st - Academy Tailor Shop","New Customer v2","Done","Done",1,"2024-07-29",""
"T4PO-1008","2st - Queen Street Cleaners (Work Required)","New Customer v2","Done","Done",2,"2024-05-24",""
"T4PO-1009","11st - Fireweed Cleaners","New Customer v2","Done","Done",11,"2024-07-15",""
"T4PO-1010","1st - Elegant dry cleaning Armadale","New Customer v2","Done","Done",1,"2024-05-17",""
"T4PO-1011","4st - Brighton Cleaners","New Customer v2","Cancelled","Done",4,"",""
"T4PO-1012","5st - Hangers","New Customer v2","Done","Done",5,"2024-07-01",""
"T4PO-1013","3st - Frontier Cleaners","New Customer v2","Done","Done",3,"2024-06-11",""
"T4PO-1014","2st - Admiral West Cleaners (Work Required)","New Customer v2","Cancelled","Done",2,"",""
"T4PO-1015","2st - Blue Line Cleaners and Alterations","New Customer v2","Done","Done",2,"2024-06-24",""
"T4PO-1016","4st - Carr's Cleaners & Laundry","New Customer v2","Done","Done",4,"2024-07-10",""
"T4PO-1017","2st - Clothesline Cleaners (Work Required)","New Customer v2","Done","Done",2,"2024-06-17",""
"T4PO-1018","3st - Executive Dry Cleaning","New Customer v2","Done","Done",3,"2024-07-01",""
"T4PO-1019","1st - Fabricare Cleaners and Coin Laundry TC","Touch Control - New Customer","Done","Done",1,"2024-05-22",""
"T4PO-1020","3st - Washington Cleaners","New Customer v2","Done","Done",3,"2024-07-15",""
"T4PO-1021","3st - Floras Drycleaners","New Customer v2","Cancelled","Done",3,"",""
"T4PO-1022","2st - Pride Cleaners (Work Required)","New Customer v2","Done","Done",2,"2024-06-07",""
"T4PO-1023","1st - Posh Cleaners","New Customer v2","Done","Done",1,"2024-08-06",""
"T4PO-1024","12st - Deluxe Dry Cleaners","New Customer v2","Stalled","To Do",12,"2026-12-31",""
"T4PO-1025","3st - Best Cleaners and Laundry","New Customer v2","Done","Done",3,"2024-07-17",""
"T4PO-1026","6st - Sunny Cleaners","New Customer v2","Done","Done",6,"2024-06-27",""
"T4PO-1027","4st - Dry Cleaners Del Rio","New Customer v2","Done","Done",4,"2024-07-23",""
"T4PO-1028","7st - Devonos Cleaners","New Customer v2","Done","Done",7,"2024-09-13",""
"T4PO-1029","9st - Fazio Cleaners (Work Required)","New Customer v2","Done","Done",9,"2024-07-01",""
"T4PO-1030","7st - Cypress Creek Cleaners","New Customer v2","Cancelled","Done",7,"",""
"T4PO-1031","1st - Green Solution Cleaners","New Customer v2","Cancelled","Done",1,"",""
"T4PO-1032","3st - Waite's Dry Cleaners","New Customer v2","Done","Done",3,"2024-07-16",""
"T4PO-1033","3st - Olaya Cleaners","New Customer v2","Done","Done",3,"2024-08-19",""
"T4PO-1034","15st - Hangers Cleaners AZ","New Customer v2","Done","Done",15,"2024-08-01",""
"T4PO-1035","1st - DO NOT USE Colonial Cleaners","New Customer v2","Cancelled","Done",1,"",""
"T4PO-1036","2st - Deluxe Cleaners & Alterations (Work Required)","New Customer v2","Done","Done",2,"2024-07-22",""
"T4PO-1037","1st - Itoro & Don's Kwik Wash","New Customer v2","Cancelled","Done",1,"",""
"T4PO-1039","2st - Colonial Cleaners","New Customer v2","Done","Done",2,"2024-07-03",""
"T4PO-1040","1st - Glam-O-Rama Cleaners","New Customer v2","Done","Done",1,"2024-07-11",""
"T4PO-1041","12st - Russells Cleaning Service","New Customer v2","Done","Done",12,"2024-08-12",""
"T4PO-1042","2st - Diamond Cleaners & Tailors","New Customer v2","Cancelled","Done",2,"",""
"T4PO-1043","4st - Southern Laundry & Dry Cleaners","New Customer v2","Done","Done",4,"2024-07-15",""
"T4PO-1044","2st - Melanie's Cleaners","New Customer v2","Done","Done",2,"2024-07-25",""
"T4PO-1045","6st - Sunshine Cleaners (Work Required)","New Customer v2","Done","Done",6,"2024-08-14",""
"T4PO-1046","1st - Creacion Monin","New Customer v2","Done","Done",1,"2024-07-23",""
"T4PO-1047","2st - Kenilworth Dry Cleaners / White Label Dry Cleaning","New Customer v2","Done","Done",2,"2024-08-14",""
"T4PO-1048","1st - Super Cleaners LLC (Work Required)","New Customer v2","Done","Done",1,"2024-08-09",""
"T4PO-1049","3st - J&J Cleaners","New Customer v2","Done","Done",3,"2024-08-09",""
"T4PO-1050","9st - Five Star Cleaners / Prestige Cleaners","New Customer v2","Done","Done",9,"2024-11-20",""
"T4PO-1051","4st - Sunshine Dry Clean LLC","New Customer v2","Done","Done",4,"2024-09-10",""
"T4PO-1052","4st - Polovoy Cleaners","New Customer v2","Done","Done",4,"2024-09-04",""
"T4PO-1053","1st - Clothing Spa (Work Required)","New Customer v2","Done","Done",1,"2024-08-14",""
"T4PO-1054","1st - Deluxe Cleaners & Alterations Jones Store (Work Required)","New Customer v2","Done","Done",1,"2024-08-19",""
"T4PO-1055","0st - Test Josh 8-5-24","New Customer v2","Cancelled","Done",0,"2024-08-09",""
"T4PO-1056","3st - Fairway Dry Cleaners","New Customer v2","Done","Done",3,"2024-08-27",""
"T4PO-1057","3st - Altona Dry Cleaners","New Customer v2","Done","Done",3,"2024-08-27",""
"T4PO-1058","2st - Keirden Dry Cleaners","New Customer v2","Done","Done",2,"2024-08-19",""
"T4PO-1059","5st - Shelton Cleaners","New Customer v2","Done","Done",5,"2024-09-09",""
"T4PO-1060","2st - Kaplan Cleaners","New Customer v2","Cancelled","Done",2,"",""
"T4PO-1061","15st - Steamer Cleaners","New Customer v2","Cancelled","Done",15,"",""
"T4PO-1062","1st - Deluxe Cleaners & Alterations Windy Rd. (Work Required)","New Customer v2","Done","Done",1,"2024-08-19",""
"T4PO-1063","1st - So Sweet Cleaners","New Customer v2","Done","Done",1,"2025-02-20",""
"T4PO-1064","2st - Mark's Wash & Fold","New Customer v2","Done","Done",2,"2024-12-03",""
"T4PO-1065","5st - Naturally Clean","New Customer v2","Done","Done",5,"2025-01-04",""
"T4PO-1066","2st - Lilly's Cleaners","New Customer v2","Done","Done",2,"2025-07-10",""
"T4PO-1067","8st - The Cleaners of Madison","New Customer v2","Done","Done",8,"2024-10-09",""
"T4PO-1068","3st - Clothing Care Cleaners - Oneonta","New Customer v2","Done","Done",3,"2024-10-07",""
"T4PO-1069","16st - Fazio Cleaners - Brentwood (Work Required)","New Customer v2","Done","Done",16,"2024-10-01",""
"T4PO-1071","6st - Kim's Cleaners","New Customer v2","Done","Done",6,"2024-10-17",""
"T4PO-1072","22st - Steamer Cleaners","New Customer v2","Done","Done",22,"2025-02-03",""
"T4PO-1073","9st - Hanna Cleaners","New Customer v2","Done","Done",9,"2025-05-14",""
"T4PO-1074","1st - White Dove Cleaners (Work Required)","New Customer v2","Done","Done",1,"2024-10-07",""
"T4PO-1075","3st - Imperial Dry Cleaners","New Customer v2","Done","Done",3,"2024-11-07",""
"T4PO-1076","2st - West Dry Cleaners","New Customer v2","Done","Done",2,"2024-10-07",""
"T4PO-1077","1st - Pinewood Dry Cleaners","New Customer v2","Done","Done",1,"2024-09-18",""
"T4PO-1079","3st - Town & Country Cleaners","New Customer v2","Done","Done",3,"2024-09-25",""
"T4PO-1080","2st - Sand Lake DryCleaning","New Customer v2","Done","Done",2,"2024-10-17",""
"T4PO-1081","3st - Bubbles Cleaners (formerly Dade Cleaners) ","New Customer v2","Done","Done",3,"2025-06-02",""
"T4PO-1082","4st - Iron Press Cleaners","New Customer v2","Done","Done",4,"2024-10-14",""
"T4PO-1083","3st - Dry Clean Planet 6","New Customer v2","Done","Done",3,"2024-10-28",""
"T4PO-1084","2st - Dress Code Cleaner & Tailor","New Customer v2","Done","Done",2,"2025-01-15",""
"T4PO-1085","3st - MC 1 Hour Cleaners","New Customer v2","Done","Done",3,"2024-11-05",""
"T4PO-1086","1st - Best New Brand Cleaners (Work Required)","New Customer v2","Done","Done",1,"2024-09-27",""
"T4PO-1087","3st - Arrowhead Cleaners","New Customer v2","Done","Done",3,"2025-01-02",""
"T4PO-1088","5st - White Swan Cleaners","New Customer v2","Done","Done",5,"2024-11-04",""
"T4PO-1089","3st - TINTORERÍA 20 DE NOVIEMBRE","New Customer v2","Done","Done",3,"2025-01-13",""
"T4PO-1090","4st - 3rd Generation Cleaners","New Customer v2","Done","Done",4,"2024-12-04",""
"T4PO-1091","9st - Worth Cleaners","New Customer v2","Done","Done",9,"2024-11-25",""
"T4PO-1092","4st - Five Star Cleaners","New Customer v2","Done","Done",4,"2024-10-31",""
"T4PO-1093","3st - Bonnie Brite Cleaners","New Customer v2","Cancelled","Done",3,"",""
"T4PO-1094","15st - Regal Dry Cleaners","New Customer v2","Done","Done",15,"2025-02-06",""
"T4PO-1095","4st - Star Dry Cleaners New Zealand","New Customer v2","Done","Done",4,"2025-02-01",""
"T4PO-1096","4st - Your Cleaners","New Customer v2","Done","Done",4,"2024-12-20",""
"T4PO-1097","4st - Ritz / ALSA Dry Cleaners","New Customer v2","Cancelled","Done",4,"2025-12-01",""
"T4PO-1098","3st - Angelos II","New Customer v2","Done","Done",3,"2025-01-13",""
"T4PO-1099","25st - Sparkle Drycleaners (NZ)","New Customer v2","Done","Done",25,"2025-02-10",""
"T4PO-1100","18st - Fazio Cleaners","New Customer v2","Done","Done",18,"2024-12-01",""
"T4PO-1101","2st - Go Green Cleaners Boca Raton, FL","New Customer v2","Done","Done",2,"2024-11-01",""
"T4PO-1102","2st - Ortega Cleaners","New Customer v2","Done","Done",2,"2025-01-06",""
"T4PO-1104","2st - Price Cutter Cleaners","New Customer v2","Done","Done",2,"",""
"T4PO-1105","2st - Suits & Skirts - Mauricio Location","New Customer v2","Done","Done",2,"2024-11-11",""
"T4PO-1106","7st - Conroe Super Dry Clean","New Customer v2","Done","Done",7,"2025-01-07",""
"T4PO-1107","5st - Fashion Cleaners","New Customer v2","Done","Done",5,"2025-01-02",""
"T4PO-1108","1st - Saphire Touch/BriteTouch add on with data (Work Required)","New Customer v2","Done","Done",1,"2024-11-11",""
"T4PO-1109","6st - Bestway Cleaners","New Customer v2","Done","Done",6,"2024-12-23",""
"T4PO-1110","2st - Sun Ray Dry Cleaners","New Customer v2","Cancelled","Done",2,"",""
"T4PO-1111","3st - Park Avenue Cleaners","New Customer v2","Done","Done",3,"2024-12-09",""
"T4PO-1112","2st - Laundry Spa (HLH)","New Customer v2","Cancelled","Done",2,"",""
